Location,Number of COVID-19 Cases,"COVID-19 Cases per 1,000,000 Population",Deaths from COVID-19,"COVID-19 Deaths per 1,000,000 Population",COVID-19 Fatality Rate,Total Number of COVID-19 Tests with Results,Share of Tests with Positive COVID-19 Results,"Number of Tests with Results per 1,000 Population",White_pctcases,White_pctpop,Black_pctcases,Black_pctpop,Hispanic_pctcases,Hispanic_pctpop,Asian_pctcases,Asianpct_pop
United States,"1,965,685",5989,111194,339,0.056567558,20615303,0.094706,62.8,,,,,,,,
Alabama,"21,422",4369,729,149,0.034030436,259991,0.080484,53,0.39,0.68,0.41,0.27,0.08,0.04,0.01,0.01
Alaska,562,768,10,14,0.017793594,65912,0.008542,90.1,0.65,0.64,0.02,0.03,0.1,0.07,0.11,0.06
Arizona,"27,678",3803,"1,053",145,0.038044656,288081,0.096077,39.6,0.21,0.54,0.03,0.04,0.2,0.32,0.01,0.03
Arkansas,"9,740",3228,155,51,0.015913758,160587,0.060652,53.2,0.48,0.77,0.35,0.15,0.1,0.08,0.01,0.02
California,"134,029",3392,"4,660",118,0.034768595,2431190,0.054014,61.5,0.15,0.37,0.04,0.05,0.38,0.39,0.07,0.15
Colorado,"28,169",4892,"1,543",268,0.054776527,217484,0.12875,37.8,0.35,0.68,0.06,0.04,0.36,0.22,0.03,0.03
Connecticut,"44,092",12367,"4,084",1145,0.092624512,308071,0.143123,86.4,0.34,0.66,0.13,0.1,0.18,0.17,0.01,0.05
Delaware,"9,972",10241,398,409,0.039911753,69947,0.142565,71.8,0.29,0.62,0.27,0.21,0.27,0.09,0.01,0.04
District of Columbia,"9,474",13424,495,701,0.052248258,55766,0.168364,79,0.15,0.42,0.46,0.46,0.25,0.11,0.01,0.04
Florida,"66,000",3073,"2,765",129,0.041893939,1234550,0.052573,57.5,0.44,0.53,0.3,0.15,0.35,0.26,NA,0.03
Georgia,"52,497",4944,"2,208",208,0.042059546,549375,0.095558,51.7,0.28,0.52,0.37,0.31,0.11,0.1,0.02,0.04
Hawaii,676,477,17,12,0.025147929,55147,NA,38.9,NA,0.21,NA,0.02,NA,0.1,NA,0.38
Idaho,"3,189",1784,83,46,0.026026968,56041,0.056013,31.4,0.53,0.9,0.02,0.01,0.19,0.13,0.02,0.02
Illinois,"128,415",10134,"5,924",467,0.046131682,1059597,0.121876,83.6,0.2,0.61,0.17,0.14,0.31,0.17,0.03,0.06
Indiana,"38,040",5650,"2,339",347,0.061487907,309503,0.121559,46,0.44,0.83,0.14,0.09,0.11,0.07,0.01,0.02
Iowa,"22,182",7031,622,197,0.028040754,193622,0.113556,61.4,0.57,0.9,0.12,0.03,0.26,0.06,0.09,0.03
Kansas,"10,557",3624,236,81,0.022354836,119509,0.089115,41,0.61,0.84,0.1,0.06,0.42,0.12,0.06,0.03
Kentucky,"11,476",2569,472,106,0.041129313,252857,0.045385,56.6,0.54,0.87,0.11,0.08,0.1,0.04,0.04,0.01
Louisiana,"43,050",9260,"2,944",633,0.068385598,442602,0.097266,95.2,NA,0.62,NA,0.32,NA,0.05,NA,0.02
Maine,"2,588",1925,99,74,0.038253478,61645,0.041982,45.9,0.63,0.95,0.13,0.01,0.03,0.01,0.02,0.01
Maryland,"58,904",9743,"2,811",465,0.047721717,371503,0.15721,61.4,0.2,0.5,0.3,0.29,0.25,0.1,0.02,0.06
Massachusetts,"103,626",15035,"7,353",1067,0.070957096,657269,0.157661,95.4,0.26,0.71,0.09,0.07,0.18,0.12,0.02,0.07
Michigan,"64,701",6479,"5,912",592,0.091374167,721035,0.089334,72.2,0.37,0.78,0.31,0.14,0.06,0.05,0.02,0.03
Minnesota,"28,224",5005,"1,208",214,0.042800454,354226,0.079678,62.8,0.34,0.83,0.23,0.07,0.18,0.05,0.05,0.05
Mississippi,"17,768",5970,837,281,0.047107159,208212,0.085336,70,0.31,0.57,0.57,0.38,0.05,0.03,0.1,0.01
Missouri,"15,195",2476,838,137,0.05514972,241461,0.06102,39.3,0.43,0.82,0.34,0.11,0.08,0.04,NA,0.02
Montana,554,518,18,17,0.032490975,51592,NA,48.3,0.91,0.89,0.1,0.1,0.04,0.04,0.1,0.01
Nebraska,"15,786",8161,188,97,0.011909287,121407,NA,62.8,NA,0.79,NA,0.04,NA,0.11,NA,0.02
Nevada,"9,816",3187,442,143,0.045028525,180003,0.054366,58.4,0.24,0.49,0.08,0.09,0.26,0.29,0.08,0.08
New Hampshire,"5,079",3735,286,210,0.056310297,85552,0.058947,62.9,0.54,0.9,0.04,0.01,0.06,0.04,0.02,0.03
New Jersey,"164,497",18520,"12,214",1375,0.074250594,975089,0.168699,109.8,0.19,0.55,0.09,0.13,0.16,0.21,0.03,0.1
New Mexico,"9,062",4322,400,191,0.044140366,234375,NA,111.8,0.12,0.37,0.03,0.02,0.23,0.49,0.01,0.02
New York,"378,799",19472,"30,417",1564,0.080298522,2555896,0.148206,131.4,NA,0.55,NA,0.14,NA,0.19,NA,0.09
North Carolina,"36,858",3514,"1,051",100,0.028514841,520113,0.070146,49.6,NA,0.32,NA,0.22,NA,0.29,NA,0.07
North Dakota,"2,901",3807,72,94,0.024819028,80180,NA,105.2,0.39,0.68,0.23,0.21,0.24,0.1,0.02,0.03
Ohio,"38,837",3322,"2,406",206,0.061951232,476818,0.08145,40.8,NA,0.84,NA,0.03,NA,0.04,NA,0.02
Oklahoma,"7,205",1821,348,88,0.048299792,221803,0.032484,56.1,0.49,0.79,0.25,0.12,0.07,0.04,0.02,0.02
Oregon,"4,922",1167,164,39,0.033319789,149879,0.03284,35.5,0.65,0.72,0.09,0.07,NA,0.11,0.03,0.02
Pennsylvania,"80,739",6307,"5,953",465,0.073731406,527950,0.145019,41.2,0.5,0.84,0.02,0.02,0.32,0.13,0.04,0.05
Rhode Island,"15,691",14812,808,763,0.051494487,179169,0.087303,169.1,0.27,0.8,0.12,0.11,NA,0.08,0.01,0.04
South Carolina,"14,800",2875,557,108,0.037635135,244661,0.060492,47.5,0.38,0.72,0.13,0.06,0.43,0.16,NA,0.03
South Dakota,"5,471",6184,65,73,0.011880826,57819,0.094623,65.4,0.42,0.67,0.45,0.26,0.09,0.06,0.01,0.02
Tennessee,"27,005",3954,421,62,0.015589706,512763,0.052547,75.1,0.3,0.82,0.19,0.02,0.17,0.04,0.11,0.01
Texas,"76,476",2637,"1,848",64,0.024164444,1100446,0.068134,38,0.39,0.78,0.2,0.17,0.18,0.05,0.02,0.02
USVI,71,NA,6,NA,0.084507042,2199,NA,NA,0.28,0.41,0.16,0.12,0.4,0.4,0.03,0.05
Utah,"12,322",3843,124,39,0.010063301,242899,0.050729,75.8,0.39,0.78,0.03,0.01,0.38,0.14,0.02,0.02
Vermont,"1,084",1737,55,88,0.050738007,42798,0.025118,68.6,0.94,0.94,0.03,0.01,0.03,0.02,0.01,0.02
Virginia,"51,738",6061,"1,496",175,0.028914917,383592,0.133608,44.9,0.31,0.68,0.14,0.19,0.31,0.1,NA,0.07
Washington,"24,041",3157,"1,161",152,0.0482925,405056,0.058582,53.2,0.28,0.68,0.05,0.04,0.26,0.13,0.05,0.09
West Virginia,"2,161",1206,84,47,0.038870893,113605,0.018952,63.4,0.8,0.93,0.07,0.04,NA,0.01,NA,0.01
Wisconsin,"21,038",3613,646,111,0.030706341,354291,0.059381,60.8,0.52,0.85,0.2,0.06,0.33,0.07,0.04,0.03
Wyoming,960,1659,17,29,0.017708333,29974,NA,51.8,0.49,0.84,0.01,0.1,0.12,0.1,0.01,0.01
Puerto Rico,"5,185",1624,142,44,0.027386692,5046,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
